국가명,국가 한줄소개
가나,"서아프리카의 황금 해안으로 불리며, 활기찬 문화와 풍부한 역사, 따뜻한 환대가 특징인 나라"
가봉,"울창한 열대 우림과 해안선, 풍부한 야생동물이 가득한 자연의 보고"
가이아나,"남아메리카 유일의 영어 사용국으로, 거대한 폭포와 울창한 열대우림 등 풍부한 자연이 인상적인 나라"
감비아,"아프리카에서 가장 작은 나라 중 하나로, 서아프리카의 문화와 강변의 풍경이 아름다운 곳"
과테말라,"고대 마야 문명의 유적과 화려한 색감의 전통 시장이 있는 중앙아메리카의 나라"
그레나다,"향신료와 초콜릿의 섬으로 불리며, 아름다운 해변과 열대 우림이 있는 곳"
그리스,"아름다운 에게해와 파르테논 신전 등 고대 문명의 유산이 빛나는, 철학과 민주주의의 발상지"
기니,"서아프리카의 풍부한 광물 자원과 다양한 부족 문화가 공존하는 나라"
기니비사우,"아름다운 해안과 열대우림, 그리고 활기찬 문화가 있는 서아프리카의 작은 나라"
나미비아,"세상에서 가장 오래된 나미브 사막과 독일 식민지 시대의 건축물이 조화로운 곳"
나우루,"세계에서 가장 작은 섬나라 중 하나로, 한때 인광석 수출로 부유했던 나라"
나이지리아,"아프리카 최대의 인구와 경제 규모를 자랑하며, 활기찬 도시와 다양한 문화가 공존하는 곳"
남수단,"2011년 독립한 신생국으로, 나일강의 아름다운 풍경과 역동적인 부족 문화가 특징"
남아프리카 공화국,"아프리카의 다양한 문화와 인종이 어우러진 역동적인 나라, 테이블 마운틴과 희망봉의 절경"
네덜란드,"풍차와 튤립의 나라, 운하가 흐르는 아름다운 도시와 자유로운 분위기"
네팔,"히말라야 산맥의 장엄한 풍경과 신비로운 불교 문화가 어우러진 나라, 트레킹의 성지"
노르웨이,"수많은 빙하가 깎아 만든 웅장한 피오르와 오로라가 아름답게 펼쳐지는 신비로운 나라"
뉴질랜드,"반지의 제왕 촬영지로 유명한 아름다운 자연, 드넓은 초원과 빙하가 공존하는 청정의 나라"
니제르,"거대한 니제르강과 사막의 풍경, 그리고 풍부한 역사를 가진 서아프리카의 나라"
니카라과,"활화산과 대형 호수, 그리고 식민지 시대의 건축물이 아름다운 곳"
대만,"현대적인 도시와 아름다운 자연, 그리고 맛있는 길거리 음식이 가득한 섬나라"
덴마크,"동화 작가 안데르센의 고향, 자전거 타기 좋은 평화로운 도시와 휘게(Hygge) 문화가 발달한 나라"
도미니카 공화국,"크리스토퍼 콜럼버스가 처음 도착한 곳, 아름다운 해변과 리조트가 가득한 나라"
도미니카,"카리브해의 자연의 섬, 울창한 열대우림과 온천, 그리고 활화산이 있는 곳"
독일,"맥주와 소시지, 그리고 중세 시대의 성과 숲이 아름다운 나라, 첨단 기술과 문화가 조화를 이룬다"
동티모르,"아름다운 산호초와 평화로운 자연을 가진 동남아시아의 신생 독립국"
라오스,"메콩강의 평화로운 흐름과 아름다운 불교 사원, 소박하고 순수한 풍경이 있는 나라"
라이베리아,"미국 해방 노예들이 세운 나라, 풍부한 열대 우림과 해안이 특징"
라트비아,"아르누보 건축이 아름다운 수도 리가와 숲이 우거진 국립공원이 있는 나라"
러시아,"붉은 광장과 크렘린 궁전의 웅장함부터 시베리아의 광활한 설원까지 펼쳐지는 나라"
레바논,"지중해의 아름다운 해안과 산악 지형, 고대 유적과 현대적인 도시가 조화를 이루는 중동의 파리"
레소토,"남아프리카 공화국 안에 있는 내륙국으로, 험준한 산악 지형이 특징"
루마니아,"흡혈귀 전설이 깃든 고풍스러운 성과 아름다운 카르파티아 산맥이 있는 동유럽의 나라"
룩셈부르크,"고대 요새와 현대적인 금융 중심지가 공존하는 작지만 부유한 나라"
르완다,"'천 개의 언덕'이라는 별명처럼 아름다운 산악 지형과 고릴라를 만날 수 있는 나라"
리비아,"광활한 사막과 고대 로마 유적, 아름다운 지중해 해안이 공존하는 북아프리카의 나라"
리투아니아,"아름다운 발트해 연안과 고풍스러운 수도 빌뉴스, 깊은 숲과 호수가 많은 나라"
리히텐슈타인,"알프스 산맥에 위치한 작은 공국으로, 중세 시대 성과 아름다운 풍경이 인상적"
마다가스카르,"독특한 생태계와 희귀한 동식물, 바오바브나무의 숲이 유명한 신비로운 섬나라"
마셜 제도,"수많은 산호섬과 환초로 이루어진 나라, 아름다운 바다와 독특한 문화가 있는 곳"
말라위,"아프리카에서 가장 아름다운 호수 중 하나인 말라위 호수가 있는 나라"
말레이시아,"다양한 문화와 종교가 공존하며 현대적인 도시와 아름다운 자연이 조화를 이루는 나라"
말리,"팀북투의 고대 도시와 사막의 신비로운 문화가 살아 숨 쉬는 곳"
멕시코,"고대 아즈텍과 마야 문명의 유적과 다채로운 색감의 문화, 활기 넘치는 축제가 공존하는 나라"
모나코,"화려한 카지노와 F1 그랑프리로 유명한 지중해의 작은 공국"
모로코,"신비로운 사막과 이국적인 시장, 다채로운 색감의 도시가 인상적인 나라"
모리타니,"광활한 사막과 유목 문화, 그리고 대서양 연안의 아름다운 해안선을 가진 나라"
모잠비크,"아름다운 인도양 해안과 산호초, 그리고 포르투갈 식민지 역사의 흔적이 남은 나라"
몽골,"초원의 나라, 드넓은 대지와 맑은 밤하늘 아래에서 유목민의 삶을 체험할 수 있는 곳"
미국,"자유와 기회의 땅으로 불리며, 광활한 대자연과 다양한 문화, 첨단 기술이 공존하는 나라"
미얀마,"수천 개의 황금 불탑이 신비로운 풍경을 이루는 곳, 따뜻한 미소와 순수한 자연이 있는 나라"
미크로네시아 연방,"수많은 섬으로 이루어진 나라, 다채로운 해양 생물과 원시 자연이 보존된 곳"
바누아투,"푸른 바다와 활화산, 원주민의 전통 문화가 살아있는 남태평양의 섬나라"
바레인,"진주 조개 채취로 유명한 섬나라, 고대 딜문 문명의 유적과 현대적인 도시가 공존하는 곳"
바베이도스,"영국 왕실과 오랜 역사를 공유하며, 아름다운 해변과 럼주로 유명한 섬나라"
바하마,"수많은 섬과 깨끗한 바다, 그리고 핑크빛 모래 해변으로 유명한 휴양지"
방글라데시,"활기찬 시장과 다양한 인종, 풍부한 문화가 살아 숨 쉬는 강과 삼각주의 나라"
베냉,"부두교의 발상지, 역사적인 유적과 다채로운 축제가 열리는 나라"
베네수엘라,"오리노코강과 안데스 산맥, 그리고 앙헬 폭포의 웅장함이 인상적인 나라"
베트남,"하롱베이의 신비로운 경치와 호이안의 고즈넉한 분위기, 신선한 음식으로 가득한 활기 넘치는 나라"
벨기에,"작은 도시 곳곳에 고풍스러운 건축물이 가득하고, 맛있는 와플과 초콜릿으로 유명한 나라"
벨라루스,"넓은 숲과 호수, 그리고 구소련의 흔적이 남아있는 조용한 나라"
벨리즈,"세계에서 두 번째로 큰 산호초 지대와 마야 유적을 가진 중앙아메리카의 작은 나라"
보스니아 헤르체고비나,"아름다운 자연과 오스만 제국의 유적, 그리고 전쟁의 아픔을 이겨낸 발칸반도의 나라"
보츠와나,"오카방고 삼각주의 야생동물과 칼라하리 사막의 별이 빛나는 밤하늘이 유명한 나라"
볼리비아,"안데스 산맥과 아마존 열대 우림, 그리고 우유니 소금 사막의 경이로운 풍경이 공존하는 곳"
부룬디,"아름다운 탕가니카 호수와 산악 지형, 아프리카의 심장부에 위치한 작은 나라"
부르키나파소,"다양한 부족 문화와 전통 음악이 살아있는 서아프리카의 내륙국"
부탄,"히말라야 산맥에 위치한 행복의 나라, 독특한 불교 문화와 아름다운 자연이 있는 곳"
북마케도니아,"알렉산더 대왕의 고향으로 알려진 나라, 고대 유적과 아름다운 오흐리드 호수가 있는 곳"
북한,"세계적으로 고립된 독특한 정치 체제와 엄격한 통제가 특징인 나라"
불가리아,"장미와 요거트의 나라, 발칸반도의 고대 유적과 아름다운 자연이 조화를 이루는 곳"
브라질,"아마존의 신비로운 정글과 리우 카니발의 열정적인 삼바 리듬이 가득한 나라"
브루나이,"울창한 열대림과 풍부한 석유 자원을 가진 보르네오 섬의 작은 술탄 왕국"
사모아,"로버트 루이스 스티븐슨이 사랑했던 섬, 태평양의 아름다운 자연과 전통 문화가 살아있는 곳"
사우디아라비아,"이슬람교의 성지 메카와 메디나가 있는 나라, 사막의 아름다움과 풍부한 석유 자원"
산마리노,"티타노 산 정상에 자리 잡은 세계에서 가장 오래된 공화국 중 하나"
상투메 프린시페,"아름다운 해변과 열대우림, 커피와 코코아 농장으로 유명한 섬나라"
세네갈,"활기 넘치는 시장과 아름다운 해안선, 그리고 서아프리카 문화와 역사가 공존하는 나라"
세르비아,"역동적인 수도 베오그라드와 아름다운 다뉴브강, 풍부한 문화가 살아있는 발칸의 심장부"
세이셸,"에메랄드빛 해변과 거대한 화강암 바위, 희귀한 동식물이 있는 인도양의 낙원"
세인트루시아,"카리브해의 작은 섬나라, 뾰족한 화산 봉우리와 아름다운 해변이 특징"
세인트빈센트 그레나딘,"화산섬과 작은 섬들로 이루어진 나라, 해적 영화의 촬영지로도 유명한 곳"
세인트키츠 네비스,"캐리비안의 작은 섬나라로, 설탕 생산 역사와 아름다운 풍경이 공존하는 곳"
소말리아,"아프리카의 뿔에 위치한 길고 긴 해안선과 풍부한 역사를 가진 나라"
솔로몬 제도,"세계에서 가장 큰 석호 중 하나인 마로보 호수를 비롯해 아름다운 자연을 간직한 섬나라"
수단,"고대 누비아 문명의 유적과 나일강의 아름다움이 공존하는 곳"
수리남,"다양한 민족과 문화가 융합된 남아메리카의 작은 나라, 네덜란드 식민지 역사를 가진 곳"
스리랑카,"아름다운 해변과 고대 불교 유적, 차 농장이 가득한 인도양의 눈물"
스웨덴,"심플하고 실용적인 디자인과 혁신적인 기술이 발달한 나라, 아름다운 숲과 호수가 있는 북유럽의 강국"
스위스,"알프스산맥의 순수하고 아름다운 자연경관과 깨끗한 도시가 어우러져 완벽한 휴식을 선사하는 나라"
스페인,"투우와 플라멩코의 정열적인 문화와 가우디의 독특한 건축물이 조화를 이루는 곳"
슬로바키아,"동화 속 풍경 같은 성과 요새, 웅장한 타트라 산맥이 있는 나라"
슬로베니아,"동화 같은 호수와 알프스 산맥, 그리고 매력적인 수도 류블랴나가 있는 유럽의 작은 나라"
시리아,"고대 문명의 발상지이자 역사의 흔적이 깊게 남아있는 나라"
시에라리온,"풍부한 다이아몬드와 아름다운 열대 우림, 그리고 활기찬 해안 도시가 있는 나라"
싱가포르,"작지만 강력한 도시 국가, 깨끗하고 안전한 환경과 미래적인 건축물이 인상적인 곳"
아랍에미리트,"사막 위에 세워진 화려한 도시 두바이와 아부다비, 혁신적인 건축물과 부유함의 상징"
아르메니아,"기독교를 국교로 채택한 세계 최초의 나라, 성서에 나오는 아라라트 산이 보이는 곳"
아르헨티나,"탱고의 열정과 파타고니아의 대자연이 공존하는 나라, 맛있는 소고기와 와인으로 유명한 곳"
아이슬란드,"오로라와 빙하, 활화산과 온천이 공존하는 불과 얼음의 땅, 경이로운 대자연의 나라"
아이티,"카리브해의 프랑스 식민지 역사와 독특한 문화, 그리고 자연의 아름다움이 공존하는 곳"
아일랜드,"아름다운 초록빛 언덕과 켈트 문화, 활기찬 펍 문화와 친절한 사람들로 가득한 섬나라"
아제르바이잔,"불의 나라, 석유와 가스 자원으로 부유하며 동양과 서양의 문화가 만나는 곳"
아프가니스탄,"험준한 산악 지형과 깊은 역사, 그리고 다양한 민족이 사는 나라"
안도라,"피레네 산맥의 작은 나라, 아름다운 자연과 스키 리조트로 유명한 곳"
알바니아,"유럽의 숨겨진 보석, 웅장한 알프스와 맑은 호수가 있는 나라"
알제리,"광활한 사하라 사막과 아름다운 지중해 해안, 고대 로마 유적이 공존하는 곳"
앙골라,"풍부한 천연자원과 아름다운 해안선, 역동적인 재건 노력이 돋보이는 나라"
앤티가 바부다,"365개의 해변으로 유명한 카리브해의 쌍둥이 섬나라"
에리트레아,"이탈리아 식민지 시절의 건축물이 남아있는 독특한 분위기의 나라"
에스와티니,"아프리카의 마지막 절대 군주국, 전통 문화와 자연이 살아있는 곳"
에콰도르,"안데스 산맥과 아마존 열대 우림, 그리고 갈라파고스 제도의 신비로운 생태계를 모두 가진 나라"
에티오피아,"고대 왕국과 기독교 문명이 살아 숨 쉬는 곳, 아프리카의 뿔에 위치한 역사적인 나라"
엘살바도르,"'화산의 나라'로 불리며, 서핑 명소와 고대 마야 유적이 공존하는 곳"
영국,"전통과 현대가 공존하는 나라, 런던의 활기찬 도시 문화와 스코틀랜드의 웅장한 자연이 인상적"
예멘,"독특한 건축 양식과 풍부한 역사를 가진 곳, '아라비아의 행복'이라 불리는 나라"
오만,"신비로운 사막과 웅장한 산, 그리고 현대적인 도시가 조화를 이루는 중동의 숨은 보석"
오스트리아,"알프스 산맥의 아름다움과 음악의 도시 빈, 모차르트와 슈베르트의 고향"
온두라스,"고대 마야 문명의 코판 유적과 아름다운 카리브해의 섬을 가진 나라"
요르단,"고대 유적 페트라와 사막의 아름다움, 사해의 신비로운 경험을 할 수 있는 나라"
우간다,"나일강의 발원지이자 고릴라 트레킹으로 유명한 '아프리카의 진주'"
우루과이,"남미의 작은 스위스, 아름다운 해변과 목축업이 발달한 평화로운 나라"
우즈베키스탄,"실크로드의 중심지, 아름다운 이슬람 건축물과 고대 도시들이 그대로 보존된 곳"
우크라이나,"드넓은 초원과 비옥한 농경지, 아름다운 키예프의 황금 돔 성당이 인상적인 나라"
이라크,"메소포타미아 문명의 발상지, 티그리스강과 유프라테스강이 흐르는 역사적인 땅"
이란,"페르시아 제국의 역사와 아름다운 이슬람 건축물이 공존하는 나라, 풍부한 문화유산의 보고"
이스라엘,"유대교, 기독교, 이슬람교의 성지가 공존하는 곳, 역사적, 종교적으로 중요한 의미를 지닌 나라"
이집트,"나일강을 따라 피라미드와 스핑크스 등 고대 유적의 신비로움이 살아 숨 쉬는 곳"
이탈리아,"로마 콜로세움의 위대함과 베네치아의 낭만적인 물길이 만나는 곳, 미식의 천국"
인도네시아,"수많은 섬으로 이루어진 나라, 신비로운 사원과 화산, 열대림이 공존하는 곳"
인도,"수천 년 역사의 고대 유적과 다양한 문화가 공존하는 나라, 활기찬 에너지와 신비로움"
일본,"고대 사원과 최첨단 기술이 조화를 이루고, 독특한 문화와 아름다운 자연이 공존하는 섬나라"
자메이카,"레게 음악의 고향, 아름다운 해변과 활기찬 문화가 넘치는 캐리비안의 섬나라"
잠비아,"빅토리아 폭포의 장엄한 모습과 풍부한 야생동물을 가진 내륙국"
적도 기니,"열대 우림과 해안선이 아름다운 나라, 아프리카의 석유 부국 중 하나"
조지아,"코카서스 산맥의 웅장함과 와인의 본고장, 그리고 독특한 정교회 문화가 인상적인 나라"
중국,"넓은 영토만큼 다양한 문화와 역사를 가진 나라, 웅장한 자연경관과 거대한 도시가 공존하는 곳"
중앙아프리카 공화국,"울창한 숲과 사바나, 그리고 다양한 민족이 사는 내륙국"
지부티,"소금 호수와 화산 지형, 그리고 독특한 해양 생물이 있는 척박하지만 신비로운 곳"
짐바브웨,"빅토리아 폭포의 웅장한 물줄기와 광활한 국립공원이 인상적인 나라"
차드,"사하라 사막과 차드 호수, 그리고 다양한 부족 문화가 공존하는 중앙아프리카의 나라"
체코,"프라하 성의 아름다운 야경과 맥주의 본고장, 동유럽의 낭만적인 도시"
칠레,"안데스 산맥과 태평양을 아우르는 길고 좁은 나라, 지구상 가장 건조한 사막과 빙하가 공존하는 신비로운 땅"
카메룬,"'작은 아프리카'라고 불릴 만큼 다양한 기후와 민족이 공존하는 나라"
카보베르데,"대서양의 화산섬으로 이루어진 나라, 아름다운 해변과 포르투갈 문화의 흔적이 공존하는 곳"
카자흐스탄,"광활한 초원과 현대적인 도시가 공존하는 중앙아시아의 대국"
카타르,"작지만 강력한 에너지 부국, 현대적인 건축물과 이슬람 문화가 조화를 이루는 나라"
캄보디아,"고대 크메르 제국의 신비로운 유적 앙코르와트와 메콩강의 평화로운 풍경이 있는 나라"
캐나다,"나이아가라 폭포의 웅장함과 로키산맥의 아름다운 대자연을 만끽할 수 있는 나라"
케냐,"광활한 사파리와 야생 동물들의 낙원, 드넓은 초원에서 펼쳐지는 대자연의 아름다움"
코모로,"화산섬으로 이루어진 인도양의 작은 나라, 아름다운 자연과 이슬람 문화가 특징"
코스타리카,"'순수한 삶'이라는 의미처럼 생태 관광과 자연 보호로 유명한 평화로운 나라"
코소보,"발칸반도의 신생 독립국으로, 다채로운 문화와 산악 경관이 돋보이는 곳"
코트디부아르,"서아프리카의 경제 중심지, 아름다운 해안과 활기찬 문화가 공존하는 나라"
콜롬비아,"아름다운 커피 농장과 활기찬 도시, 다양한 열대 과일과 자연의 보고"
콩고 공화국,"아프리카 중심부에 위치하며, 콩고강과 열대우림의 풍부한 자연이 인상적인 나라"
콩고민주공화국,"광활한 열대 우림과 풍부한 천연자원을 가진 아프리카의 중심부"
쿠바,"올드카와 시가가 가득한 독특한 분위기의 나라, 재즈와 살사의 열정이 넘치는 곳"
쿠웨이트,"석유 부국으로, 현대적인 고층 빌딩과 전통적인 시장이 공존하는 곳"
크로아티아,"아름다운 아드리아해와 붉은 지붕의 도시 두브로브니크, 자연과 역사가 어우러진 휴양지"
키르기스스탄,"천혜의 자연을 가진 중앙아시아의 나라, 웅장한 산맥과 고원 호수가 유명"
키리바시,"세계에서 유일하게 네 개의 반구에 걸쳐 있는 나라, 아름다운 산호섬들이 특징"
키프로스,"아프로디테 신화의 발상지, 아름다운 해변과 고대 유적이 어우러진 나라"
타이완,"현대적인 도시와 아름다운 자연, 그리고 맛있는 길거리 음식이 가득한 섬"
타지키스탄,"파미르 고원의 웅장함과 실크로드의 역사적 흔적이 남아있는 곳"
탄자니아,"킬리만자로의 설원과 세렝게티 국립공원의 야생동물이 가득한 자연의 보고"
태국,"다양한 불교 사원과 활기찬 야시장, 아름다운 해변이 어우러진 나라"
터키,"동양과 서양이 만나는 신비로운 나라, 이스탄불의 활기찬 분위기와 카파도키아의 독특한 풍경"
토고,"아름다운 해변과 활기찬 시장, 그리고 독특한 문화가 있는 서아프리카의 작은 나라"
통가,"'친절한 섬들'로 불리는 남태평양의 왕국, 활화산과 바다 동굴이 있는 곳"
투르크메니스탄,"광활한 사막과 독특한 건축물, 그리고 '지옥의 문'으로 불리는 가스 분화구가 있는 나라"
투발루,"지구 온난화로 인해 사라질 위기에 처한 작은 섬나라, 청정한 자연이 인상적인 곳"
튀니지,"역사적인 카르타고 유적과 깨끗한 지중해 해변을 가진 북아프리카의 휴양지"
트리니다드 토바고,"카니발과 칼립소 음악의 본고장, 다양한 문화와 아름다운 자연이 있는 섬나라"
파나마,"태평양과 대서양을 잇는 파나마 운하와 정글, 해변이 공존하는 나라"
파라과이,"남아메리카 중심부에 있는 내륙국, 푸른 자연과 전통 문화가 인상적인 곳"
파키스탄,"히말라야 산맥의 웅장한 풍경과 인더스 문명의 고대 유산이 공존하는 곳"
파푸아뉴기니,"원시 자연과 부족 문화가 그대로 보존된 곳, 다양한 동식물과 언어를 가진 나라"
팔레스타인,"성서에 기록된 유적이 많아 기독교, 유대교, 이슬람교의 성지가 공존하는 곳"
페루,"고대 잉카 문명의 신비로운 유적 마추픽추와 아마존의 자연이 있는 나라"
포르투갈,"따뜻한 햇살과 바다, 그리고 낭만적인 분위기가 가득한 나라, 맛있는 에그타르트의 본고장"
폴란드,"중세 도시의 고풍스러운 멋과 쇼팽의 아름다운 선율이 흐르는 나라, 전쟁의 아픔을 이겨낸 역사"
푸에르토리코,"미국령이지만 독자적인 문화와 아름다운 해변, 스페인 식민지 시대의 건축물이 남아있는 곳"
프랑스,"예술과 낭만의 나라, 에펠탑과 루브르 박물관 등 풍부한 문화유산이 있는 곳"
피지,"에메랄드빛 바다와 하얀 모래사장, 친절한 사람들과 함께 완벽한 휴양을 즐길 수 있는 섬나라"
핀란드,"자작나무 숲과 맑은 호수가 가득한 자연의 나라, 사우나와 산타클로스의 고향"
필리핀,"아름다운 해변과 다양한 해양 생물, 활기찬 축제와 친절한 사람들이 있는 섬나라"
헝가리,"부다페스트의 야경과 온천으로 유명한 나라, 풍부한 역사와 예술이 살아있는 곳"
호주,"캥거루와 코알라가 뛰노는 광활한 대자연과 시드니 오페라 하우스가 공존하는 나라"
홍콩,"화려한 스카이라인과 활기찬 야시장, 동서양 문화가 조화를 이루는 역동적인 도시"
마카오,"포르투갈 식민지 역사의 흔적이 남은 작은 지역으로, 화려한 카지노와 미식으로 유명한 곳"
바티칸 시국,"전 세계 가톨릭의 중심지이자 교황청이 있는 세계에서 가장 작은 나라"
대한민국,"첨단 기술과 K-pop 문화, 역동적인 도시와 아름다운 자연이 어우러진 나라"